DEBIT,09/27/2010,"U R* NATHANS NEW YORK NY        09/26U R* NATH",-8.54
DEBIT,09/23/2010,"U R* JOY CURRY & TANDOO         09/21U R* JOY",-9.24
DEBIT,09/23/2010,"U R* BAJA FRESH NEW YORK        09/22U R* BAJA",-8.50
DEBIT,09/22/2010,"U R* Amazon.com AMZN.COM        09/22U R* Amaz",21.61
DEBIT,09/22/2010,"U R* OAXACA MEXICAN GRI         09/20U R* OAXA",-10.97
DEBIT,09/22/2010,"U R* MCDONALD'S F16658 N        09/20U R* MCDO",-3.68
CREDIT,09/22/2010,"INTEREST PAYMENT",0.04
DEBIT,09/21/2010,"U R* MCDONALD'S F16658 N        09/19U R* MCDO",-7.37
DEBIT,09/21/2010,"U R* PAYPAL *SQUARET 402        09/20U R* PAYP",-24.38
DEBIT,09/21/2010,"U R* WALGREENS #11962 NE        09/20U R* WALG",-7.59
DEBIT,09/20/2010,"U R* PAYPAL *JETPENS 402        09/16U R* PAYP",-30.75
DEBIT,09/20/2010,"U R* MCDONALD'S F16658 N        09/17U R* MCDO",-9.24
DEBIT,09/20/2010,"U R* SUBWAY        0038         09/18U R* SUBW",-6.85
DEBIT,09/20/2010,"Online Payment ##### To TIME WARNER 09/20",-45.95
DSLIP,09/17/2010,"DEPOSIT  ID NUMBER ######",60.00
DEBIT,09/17/2010,"U R* 9TH CORNER CLEANER         09/15U R* 9TH",-16.50
DEBIT,09/17/2010,"U R* JOY CURRY & TANDOO         09/15U R* JOY",-9.24
DEBIT,09/17/2010,"U R* SUBWAY        0038         09/16U R* SUBW",-6.52
DEBIT,09/16/2010,"U R* CHICKEN BAR NEW YOR        09/14U R* CHIC",-3.54
DEBIT,09/16/2010,"U R* SUBWAY        0038         09/15U R* SUBW",-6.85
DEBIT,09/15/2010,"U R* DAINOBU INC NEW YOR        09/13U R* DAIN",-9.29
DEBIT,09/15/2010,"U R* SUBWAY        0038         09/14U R* SUBW",-7.39
DEBIT,09/15/2010,"U R* ORIENTAL NOODLE SH         09/14U R* ORIE",-7.95
DEBIT,09/13/2010,"U R* PAYPAL *ZHONGSH 402        09/09U R* PAYP",-196.49
DEBIT,09/13/2010,"U R* WWW.NEWEGG.COM 800-        09/10U R* WWW.",-49.96
DEBIT,09/13/2010,"U R* JOY CURRY & TANDOO         09/10U R* JOY",-9.24
DEBIT,09/13/2010,"U R* SUBWAY        0038         09/10U R* SUBW",-8.39
DEBIT,09/13/2010,"U R* NITEEN INTERNATION         09/11U R* NITE",-17.46
DEBIT,09/13/2010,"U R* Amazon.com AMZN.COM        09/12U R* Amaz",-21.48
DEBIT,09/10/2010,"U R* Amazon.com AMZN.COM        09/09U R* Amaz",-21.61
DEBIT,09/10/2010,"U R* PAYPAL *KNOWNAS 402        09/08U R* PAYP",-74.99
DEBIT,09/09/2010,"U R* RA@JP MORGAN CHASE         09/08U R* RA@J",-7.33
DEBIT,09/08/2010,"U R* SUBWAY        0038         09/06U R* SUBW",-6.52
DEBIT,09/07/2010,"U R* PAPA JOHNS #296 516        09/04U R* PAPA",-17.40
DEBIT,09/07/2010,"U R* MCDONALD'S F16658 N        09/05U R* MCDO",-4.77
DEBIT,09/02/2010,"U R* MCDONALD'S F6971 MA        08/31U R* MCDO",-4.77
